Ahuriri,1960,38.15,42.75,33.8,31.71,41.86,39.15,39.34,45.7,38.99,37.69,40.21,34.16,30.8,28.62,26.78,23.72,28.24,32.27,33.97,37.87,31.04,29.6,35.03,45.94,48.99,47,45.92,53.9,60.91,59.42,64.19,65.24,64.47,61.04,60.14,62.07,56.6,63.25,62.03,59.83,48.93,52.68,44.29,45.48,41.26,35.39,36.4,34.32,34.71,47.85,48.94,33.11,32.59
Ahuriri,1961,38.3,34.3,54.5,47.4,32.3,27.1,27.4,26.9,25.5,26,24.7,32.5,45.3,33.3,31.7,33,86.6,59.1,85.4,51.5,40.3,42.2,34.8,47.2,41,41.4,51.9,72.1,79.5,66.6,74.3,49.5,68.5,54.8,38.5,68.3,54.6,40.6,32.3,29.4,42.5,30.1,29.7,28.8,22,21.5,23.1,20,28.4,32.6,32.7,25.2,25.2
Ahuriri,1962,21.3,18.4,17.7,16.4,17.3,29.8,31.9,35.3,34.6,43.8,37.2,36,46.5,32.9,37.7,34.6,30.9,87.2,66.3,44.4,35.3,43.7,58.4,61.4,43.9,34.9,33.4,48.8,42.5,57,90.2,126.2,69.1,58.1,48.1,43.1,35.7,33.7,28.2,27.2,25.8,25.6,20.4,22.1,21.1,23.3,33.7,49.6,42.4,32.4,40.8,28.5,28.5
Ahuriri,1963,33.2,21.5,22.6,24.2,23,27.2,24.5,31.9,25.5,42.5,36.6,33.7,46.6,30.5,24.9,25,27.5,23.3,26.9,31,28,31,58.4,42.8,116.6,72,59.8,53.1,54.6,49.9,54.7,53.2,42.3,47.1,37.2,38.9,35.9,34.1,26.5,23.8,22.9,37.4,41.9,33.2,28.4,22.5,19.7,16.5,13.3,12.4,27.9,29.5,29.5
Ahuriri,1964,36.5,24.8,20.1,16.7,14.6,15.9,22.8,93,41.6,34.2,28.1,22.8,20.5,18,22.3,22.5,22,22.4,21.1,26.7,29.8,26.9,25.5,23.4,38.4,38.3,32.8,51.6,39.3,50.2,42.3,40,52,37.4,47.9,77.5,74.8,73.2,62.6,47.3,54.9,181.9,97.1,74.7,56.6,47.8,46.8,32.2,26.8,26.2,50.2,47.5,33.7
Ahuriri,1965,27,30.5,23,26.4,24.4,22.3,20.7,36.2,30.4,26,32.9,25.2,34.7,24.2,21.4,20.6,19.2,17.8,18,21.7,19.9,17.6,17.6,19.9,35.9,34.3,58.4,45.3,38.5,41,55.3,61.5,104.6,93.6,60.3,61,55.9,97.7,49.9,142.3,95.2,49.2,54.1,36.7,33.9,41.2,44.9,62.8,34.2,31,23.2,22.3,22.3
Ahuriri,1966,36.7,65.2,40.4,27.8,25.4,25.6,22.4,21.1,19.9,22.8,19.2,17.8,21.3,19.9,17.6,16.2,15.3,15.7,17.2,17.1,16.9,18.5,17,17.2,21.4,28.2,24.4,29.9,24.6,29.2,29.5,33.7,29.4,55.4,45.8,61.3,30.2,42.4,35.6,25.9,41.5,25.7,47.1,92.9,51,29,75.7,34.6,51,162,50.8,36.6,36.6
Ahuriri,1967,26.1,91.1,43.6,52.9,195.6,67.9,51.3,35,33.7,26,21.8,19.7,18.9,49.7,39.5,25.4,21.5,32.9,49.7,107.4,62,35.9,35.5,26.7,22.6,21.6,29.2,41.9,32.1,49,32,43.7,49.1,50.8,140.1,109.7,63.2,136.4,72.8,71.7,67.5,52.7,45.5,36.6,32.1,75.9,37.3,27.3,33.6,130.4,83.3,43.6,43.6
Ahuriri,1968,35.5,27.4,40.8,29.9,30.1,63.4,44.9,88.1,84.1,51.4,34.8,27.2,22.4,20.6,18,17.2,18.7,20.4,24.3,65.2,48.3,31.5,38.2,50.2,50.6,60,53.2,87.3,53.7,51.3,143.1,101.4,86.3,76.8,57.9,69.4,70.5,65,79.2,71.9,73.6,49.8,51,38.8,44.2,31.3,30.1,26.9,22.6,51.2,32.1,34.1,34.1
Ahuriri,1969,25,24.7,39.4,28.9,27.1,29.1,24.5,23,35.2,23.3,17.3,19.5,15.9,17.4,22.6,19,16.5,16.5,16.7,26,24.3,19.4,16.7,149.9,158.8,69.6,49.1,36.3,31.5,35,52.7,38,43.6,40,41.9,34.7,47.9,40.2,50.1,199.8,58,42.8,36.2,48.6,63.2,36,26.6,27.5,23,22.6,37.5,25,25
