Ahuriri,1970,39.7,48.13,38.53,37.36,39.29,38.45,42.46,44.66,40.45,41.91,44.32,37.49,36.54,32.2,29.54,25.39,27.65,34.61,32.02,38.26,36.26,31.75,32.88,41.61,44.13,44.38,46.11,58.77,65.76,67.04,67.36,70.55,67.26,67.96,61.07,61.46,56.73,66.42,65.87,61.29,54.27,51.75,47.99,46.29,41.44,36.22,36.46,34.73,35.82,42.36,49.49,36.95,36.38
Ahuriri,1971,24.3,21.5,31.3,28,22.3,23.3,47.1,27.2,25.6,61.1,57.2,31,26.5,24.6,21.3,19.7,18.7,17.6,16.8,16.7,15.9,20.9,26.9,59.4,35.3,39,87.2,90.4,75.6,60.4,101.2,64.8,71.3,49.1,64.2,76.6,54.6,72.3,53.5,47.3,32.1,45.3,28.3,33.2,24.3,21.2,19.6,19.9,29.7,31.3,43,32.6,32.6
Ahuriri,1972,29.7,24.9,21,28.2,50.4,30.9,38.4,45.1,51.6,35.9,26.8,22.6,19.9,22.1,20,20.5,37.5,26.8,21.3,21.9,19.8,19.6,22.4,117.8,100.4,88.3,67.7,72.6,77.2,60.6,58.1,98.7,122,82.9,53.5,74.7,46.3,45.3,47.4,41.9,39.2,36.2,29.9,25.2,26.7,23.8,18.7,17.8,17.5,17.3,17.5,19.1,19.1
Ahuriri,1973,26.6,20,19.8,52,51.3,45.4,51.2,39.1,37,42.8,47.1,28.8,25.6,25.5,20.9,18.6,18,17.6,17.2,19.4,18.7,17.4,29.7,24.3,24.4,22.8,24.3,23.8,74.9,93.4,71.3,152.2,114.1,50,40.8,37.7,32.3,29.3,29.5,27.1,31.9,23.4,21.9,18.8,22.3,25.2,69.1,61.6,35.5,25.6,91.9,40.2,40.2
Ahuriri,1974,27.7,46.2,40.9,56.6,34.9,27.2,23.7,22,21.6,19.9,17.8,17.3,24.9,35.5,30.2,21.7,29.7,33,27.1,21.5,19.1,17.9,18.9,26.9,28.9,29.7,29.7,31.7,29.3,45.1,41.2,34.5,65.6,73.5,49.5,48.8,36.1,40.6,38.4,35,27.5,32.1,33.7,45.3,56.1,35.1,38.7,63.7,69.1,47.8,35.6,48.2,48.2
Ahuriri,1975,95.7,172.9,81.5,43.5,44.9,49,34.1,109.3,96.5,41.7,64.3,37.6,31.1,25.2,22.6,27.4,26.2,36.3,86.2,49.8,37.9,33.9,29.6,29.9,39,65.6,43,37.2,45.3,59.2,65.6,75.8,75.6,50.5,35.6,61.1,47.6,45.1,39.3,33.7,34,36.8,32.5,25.5,35.8,25.5,24.3,24.1,20,20.3,27.5,20.4,19.2
Ahuriri,1976,17.4,15.9,14.9,14.1,29.4,22.1,21,50.1,36.1,70.5,54.9,28.3,22.2,19.4,18,23,20.4,19.6,17.2,17.4,16.3,21.5,18.2,18.8,18.5,17.9,16.9,25.6,30,35.3,28.5,37,26.5,32.9,36.7,84,77.4,63,48.6,55.6,97.1,45.3,44.6,60.6,48.5,35.2,31.1,28.5,27.6,26.7,28.7,22,22
Ahuriri,1977,24.3,25.5,24.1,20.2,39.2,30.7,24.7,33,38,33.2,25.8,28,21.9,29.5,24.4,19.8,18.2,16.9,15.7,14.9,14.2,13.8,13.4,12.9,15.1,28.8,28.2,28,28.5,29.8,52.7,51.6,45.2,36.4,37,37.5,32.4,49.4,41.4,33.8,32.7,30.8,47.5,29.6,24.7,21.6,18.3,20.4,18.1,15.6,14.7,37.3,37.3
Ahuriri,1978,43.8,26.9,26.4,45.9,41.6,27,126.2,54.6,32.4,48,50.7,32.2,25.6,22.3,25.7,22,25.4,27.6,28.4,136.4,42.7,40.1,33.7,55.5,63,70.4,58.1,48.1,166.7,75.1,51.5,61.7,54.3,56.7,90.3,65.5,50.1,35.9,43,37.9,36.9,43.9,31.5,29.8,27.4,23.6,70.1,35.5,32.7,99.8,91,39.6,39.6
Ahuriri,1979,47.8,96,61.1,34.1,44.6,84.8,83.6,49,43.7,38.7,28,24.9,35.3,26.9,23.9,21.4,20.8,27.9,23.6,21.9,22,20.6,31.4,32.7,54.2,37,77.5,62.9,55.1,52.3,101.3,100.6,59.4,54.6,68.8,198,128.3,77,130.5,110.4,75.6,56,99.8,107.9,68.1,66.8,49.4,40,39.8,33.5,40,43.2,43.2
